"region","district","psu","lon","lat","pop"
"Bay","Burhakaba",66,NA,NA,500
"Bay","Burhakaba",67,NA,NA,560
"Bay","Burhakaba",68,NA,NA,600
"Bay","Burhakaba",69,NA,NA,500
"Bay","Burhakaba",70,NA,NA,400
"Bay","Burhakaba",71,NA,NA,600
"Bay","Burhakaba",72,NA,NA,800
"Bay","Burhakaba",73,NA,NA,600
"Bay","Burhakaba",74,NA,NA,450
"Bay","Burhakaba",75,NA,NA,550
"Bay","Burhakaba",76,NA,NA,500
"Bay","Burhakaba",77,NA,NA,700
"Bay","Burhakaba",78,NA,NA,750
"Bakool","Baidoa",99,NA,NA,300
"Bakool","Baidoa",100,NA,NA,280
"Bakool","Baidoa",101,NA,NA,300
"Bakool","Baidoa",102,NA,NA,400
"Bakool","Baidoa",103,NA,NA,450
"Bakool","Baidoa",104,NA,NA,500
"Bakool","Baidoa",105,NA,NA,400
"Bakool","Baidoa",106,NA,NA,400
"Bakool","Baidoa",107,NA,NA,280
"Bakool","Baidoa",108,NA,NA,600
"Bakool","Baidoa",109,NA,NA,350
"Bakool","Baidoa",110,NA,NA,400
"Bakool","Baidoa",111,NA,NA,250
"Bakool","Baidoa",112,NA,NA,250
"Bakool","Baidoa",113,NA,NA,260
"Bakool","Baidoa",114,NA,NA,300
"Bakool","Baidoa",115,NA,NA,350
"Bakool","Baidoa",116,NA,NA,250
"Bakool","Baidoa",117,NA,NA,270
"Bakool","Baidoa",118,NA,NA,400
